gift_id,gift_name,category,actual_cost,budget_cost,market_price,perceived_value,is_inventory,is_zero_budget,is_selectable,lifecycle_status,stock_status,stock_qty,budget_band,suitable_months,suitable_seasons,suitable_events,suitable_persona,suitable_play_types,gift_role,source_type,source_ref,confidence,price_source,pdf_price_clues,needs_manual_review,review_priority,review_notes,frontend_tags,skill_usage_notes,notes,benefit_type,discount_amount,affects_payment_price,payment_price_formula
gift_a472d286,养生壶,实物,,,,,待确认,FALSE,FALSE,confirmed_needs_pricing,待确认,,待确认,1;2,待确认,大促;互动直播;福利叠加,期货交易用户;TradingHero用户,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,人工审核PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,待补预算成本,50/89/99/100/159/2680,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,已确认;待补成本;不可自动选择,缺少预算成本前，只能作为候选灵感。,,gift,,FALSE,
gift_433caca8,小米行李箱,实物,,,,,待确认,FALSE,FALSE,confirmed_needs_pricing,待确认,,待确认,1,待确认,大促;互动直播;福利叠加,期货交易用户;TradingHero用户,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,人工审核PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,待补预算成本,200/209/2768,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,已确认;待补成本;不可自动选择,缺少预算成本前，只能作为候选灵感。,,gift,,FALSE,
gift_d548f742,带鱼屏,实物,,,,,待确认,FALSE,FALSE,confirmed_needs_pricing,待确认,,待确认,6,待确认,大促;互动直播;福利叠加,期货交易用户;TradingHero用户,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,人工审核PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,待补预算成本,18/50/100/888/1600,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,已确认;待补成本;不可自动选择,缺少预算成本前，只能作为候选灵感。,,gift,,FALSE,
gift_ad6b7d72,电动牙刷,实物,,,,,待确认,FALSE,FALSE,confirmed_needs_pricing,待确认,,待确认,1;6,待确认,大促;互动直播;福利叠加,期货交易用户;TradingHero用户,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,人工审核PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,待补预算成本,49/66/69/85/90/99/100/200/329,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,已确认;待补成本;不可自动选择,缺少预算成本前，只能作为候选灵感。,,gift,,FALSE,
gift_461f7a31,200元京东卡,优惠券,200,200,200,200,FALSE,FALSE,TRUE,confirmed,按活动预算,,151-200,1;2;3;4;5;6;7;8;9;10;11;12,待确认,冲GMV;大促;互动二选一,期货交易用户;TradingHero用户,二选一;抽奖;前N名,现金感福利;卡券加赠,趋势候选人工审核,internal_rule,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：京东。 这是现金感卡券，不改变 TradingHero 支付价。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；卡券/立减金按面额计入预算，后续可按活动策略调整。,voucher,,FALSE,
gift_fcc7a6e3,100元立减金,立减金,100,100,100,100,FALSE,FALSE,TRUE,confirmed,按活动预算,,51-100,1;2;3;4;5;6;7;8;9;10;11;12,待确认,冲GMV;限时秒杀;主播特权,期货交易用户;TradingHero用户,限时立减;前N名;二选一,价格直降;现金感福利,趋势候选人工审核,internal_rule,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：立减、100元。 这是价格影响型福利，会直接降低最终支付价。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；卡券/立减金按面额计入预算，后续可按活动策略调整。,price_discount,100,TRUE,final_price = base_price - 100
gift_3eff84c5,200元立减金,立减金,200,200,200,200,FALSE,FALSE,TRUE,confirmed,按活动预算,,151-200,1;2;3;4;5;6;7;8;9;10;11;12,待确认,冲GMV;限时秒杀;大促,期货交易用户;TradingHero用户,限时立减;前N名;二选一,价格直降;现金感福利,趋势候选人工审核,internal_rule,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：立减。 这是价格影响型福利，会直接降低最终支付价。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；卡券/立减金按面额计入预算，后续可按活动策略调整。,price_discount,200,TRUE,final_price = base_price - 200
gift_499f8ecf,护眼台灯,实物,169,169,169,169,FALSE,FALSE,TRUE,confirmed,待采购,,151-200,1;2;3;4;5;6;7;8;9;10;11;12,待确认,大促;主福利位;抽奖,期货交易用户;TradingHero用户,抽奖;二选一;前N名,实物加赠;互动福利,趋势候选人工审核,manual_keyword_seed,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：办公室、桌面。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。,gift,,FALSE,
gift_497908a9,交易复盘笔记本,学习资料,49,49,49,49,FALSE,FALSE,TRUE,confirmed,待采购,,1-50,1;2;3;4;5;6;7;8;9;10;11;12,待确认,学习种草;课程承接;成交后加赠,期货交易用户;TradingHero用户,学习礼包;保底赠送;前N名,学习礼包;产品相关权益,趋势候选人工审核,manual_keyword_seed,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：交易。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。,gift,,FALSE,
gift_04d1fe0a,桌面计时器,实物,59,59,59,59,FALSE,FALSE,TRUE,confirmed,待采购,,51-100,1;2;3;4;5;6;7;8;9;10;11;12,待确认,交易纪律;学习种草;互动福利,期货交易用户;TradingHero用户,二选一;前N名;学习礼包,实物加赠;互动福利,趋势候选人工审核,manual_keyword_seed,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：交易员、桌面、办公。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。,gift,,FALSE,
gift_66f68e2f,桌面静音小风扇,实物,79,79,79,79,FALSE,FALSE,TRUE,confirmed,待采购,,51-100,5;6;7;8,待确认,夏季直播;普通周转化;互动福利,期货交易用户;TradingHero用户,二选一;前N名;限时福利,实物加赠;互动福利,趋势候选人工审核,manual_keyword_seed,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：夏季、办公室、桌面。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。,gift,,FALSE,
gift_c32fdd18,无线鼠标,实物,89,89,89,89,FALSE,FALSE,TRUE,confirmed,待采购,,51-100,1;2;3;4;5;6;7;8;9;10;11;12,待确认,普通直播;互动福利;二选一,期货交易用户;TradingHero用户,二选一;抽奖;前N名,实物加赠;互动福利,趋势候选人工审核,manual_keyword_seed,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：办公室、桌面、交易员。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。,gift,,FALSE,
gift_42922358,K线形态速查卡,学习资料,29,29,29,29,FALSE,FALSE,TRUE,confirmed,待采购,,1-50,1;2;3;4;5;6;7;8;9;10;11;12,待确认,学习种草;新手转化;成交后加赠,期货交易用户;TradingHero用户,学习礼包;主播特权;保底赠送,学习礼包;产品相关权益,趋势候选人工审核,manual_keyword_seed,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：交易。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。,gift,,FALSE,
gift_bf7edacb,迷你筋膜按摩器,实物,129,129,129,129,FALSE,FALSE,TRUE,confirmed,待采购,,101-150,1;2;3;4;5;6;7;8;9;10;11;12,待确认,互动福利;二选一;大促,期货交易用户;TradingHero用户,二选一;抽奖;前N名,实物加赠;互动福利,趋势候选人工审核,manual_keyword_seed,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：办公室、交易员。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。,gift,,FALSE,
gift_17a1668b,保温杯,实物,69,69,69,69,FALSE,FALSE,TRUE,confirmed,待采购,,51-100,1;2;10;11;12,待确认,秋冬直播;普通直播;低成本加赠,期货交易用户;TradingHero用户,前N名;保底赠送;二选一,实物加赠;互动福利,趋势候选人工审核,manual_keyword_seed,高,人工确认趋势候选,,FALSE,trend,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：办公室、桌面、礼品。,趋势候选;可选,可用于趋势礼品推荐。,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。,gift,,FALSE,
