gift_id,gift_name,category,actual_cost,budget_cost,market_price,perceived_value,is_inventory,is_zero_budget,is_selectable,lifecycle_status,stock_status,stock_qty,budget_band,suitable_months,suitable_seasons,suitable_events,suitable_persona,suitable_play_types,gift_role,source_type,source_ref,confidence,price_source,pdf_price_clues,needs_manual_review,review_priority,review_notes,frontend_tags,skill_usage_notes,notes
pending_gift_df4b7e90,充电宝,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,99/179/200/288/329/899,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_848b562b,养生壶,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1;2,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,50/89/99/100/159/2680,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_147fa6e8,四件套,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1;11,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,200/1188/2999,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_fa739ffd,小米行李箱,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,200/209/2768,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_d5ca3907,带鱼屏,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,6,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,18/50/100/888/1600,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_1efff785,日进斗金黄金大饼,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,2,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,100/200/412/415/480/578,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_ad69533f,期货台历,学习资料,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,学习礼包;产品相关权益,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,11/15/39/81/88/100/108/128,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_d7a281df,电动牙刷,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1;6,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,49/66/69/85/90/99/100/200/329,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_b25e0f8f,知识桌垫,学习资料,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,学习礼包;产品相关权益,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,100/546/1000,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_e5dd478e,行李箱,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,200/209/2768,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_8876954b,黄金大饼,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,2;11,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,30/70/80/100/179/180/200/250/300/1000,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_f66a09be,黄金钥匙扣,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1;11,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,30/70/80/100/179/180/200/250/300/445,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_f047c84b,200元京东卡,优惠券,,,200,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,待确认,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,现金感福利;价格补强,PDF候选,TradingHero2026年1-6月直播活动.pdf,中,面额来自PDF,200,TRUE,P1,现金感强、历史高频，可优先确认面额和成本,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
